step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud
38,CASH_OUT,90204.54,C1295812229,90204.54,0.0,C1254182177,0.0,90204.54,1
105,CASH_OUT,539087.79,C1597812887,539087.79,0.0,C1452774204,44825.34,583913.14,1
331,CASH_OUT,420330.71,C932539468,420330.71,0.0,C1435443699,99227.28,519557.99,1
505,TRANSFER,745156.83,C2129553279,745156.83,0.0,C1601194258,0.0,0.0,1
36,TRANSFER,326884.31,C237051726,326884.31,0.0,C1684081981,0.0,0.0,1
217,CASH_OUT,108783.2,C656154265,108783.2,0.0,C1779832819,89597.75,198380.95,1
37,TRANSFER,1842.0,C1032918138,1842.0,0.0,C34257403,0.0,0.0,1
6,CASH_OUT,33332.86,C685428529,33332.86,0.0,C1626759869,31002.0,0.0,1
342,TRANSFER,22402.21,C594348983,22402.21,0.0,C978716589,0.0,0.0,1
191,CASH_OUT,132294.93,C1830094235,132294.93,0.0,C178892179,640652.41,772947.34,1
398,CASH_OUT,4309298.47,C1906469429,4309298.47,0.0,C1015754309,0.0,4309298.47,1
523,TRANSFER,497928.97,C2025900905,497928.97,0.0,C860186566,0.0,0.0,1
529,CASH_OUT,1399724.98,C907660116,1399724.98,0.0,C1464428552,440633.99,1840358.97,1
447,TRANSFER,834592.4,C1391274777,834592.4,0.0,C1330816547,0.0,0.0,1
49,CASH_OUT,114017.19,C305323219,114017.19,0.0,C1508275623,2822872.88,2936890.07,1
456,TRANSFER,30548.46,C1322381590,30548.46,0.0,C876969670,0.0,0.0,1
724,TRANSFER,1379501.18,C1083455984,1379501.18,0.0,C662399585,0.0,0.0,1
366,CASH_OUT,500003.56,C1283250081,500003.56,0.0,C956555426,0.0,500003.56,1
557,CASH_OUT,839077.79,C1046755509,839077.79,0.0,C758775934,0.0,839077.79,1
306,TRANSFER,4262592.28,C261172273,4262592.28,0.0,C1673497915,0.0,0.0,1
352,TRANSFER,614145.31,C1021093618,614145.31,0.0,C1029613730,0.0,0.0,1
597,CASH_OUT,88099.88,C2018119916,88099.88,0.0,C2046106901,949442.18,1037542.06,1
31,TRANSFER,378204.02,C620879020,378204.02,0.0,C929929591,0.0,0.0,1
143,TRANSFER,155854.37,C1352884053,155854.37,0.0,C769290642,0.0,0.0,1
495,TRANSFER,197943.1,C1143038776,197943.1,0.0,C742185953,0.0,0.0,1
114,CASH_OUT,2908264.69,C784554482,2908264.69,0.0,C669471346,2786059.72,5694324.4,1
586,CASH_OUT,10000000.0,C701712936,10000000.0,0.0,C704752055,0.0,10000000.0,1
95,CASH_OUT,8775594.43,C131527035,8775594.43,0.0,C897416477,0.0,8775594.43,1
281,TRANSFER,556720.82,C1352632732,556720.82,0.0,C1169865879,0.0,0.0,1
151,TRANSFER,338229.88,C1915521741,338229.88,0.0,C1011899331,0.0,0.0,1
206,CASH_OUT,154196.49,C1013101723,154196.49,0.0,C1068088118,325765.34,479961.83,1
406,CASH_OUT,669627.43,C390395645,669627.43,0.0,C725115961,0.0,669627.43,1
730,CASH_OUT,0.0,C729003789,0.0,0.0,C1388096959,1008609.53,1008609.53,1
